overlay_group_id,overlay_priority,basis_name,basis_file,basis_path,floor_hint,insert_x,insert_y,xscale,yscale,rotation,is_identity_insert,drawing_count,facility_count,sample_drawings,review_note
xr-plan_0_0_1_1_0,A_XR_PLAN_IDENTITY,XR-PLAN,XR-PLAN.dwg,XR-PLAN.dwg,SITE,0,0,1,1,0,True,36,1052,E-C14_전기실 장비배치도.dxf | E-G03_전력간선설비 평면도(HV).dxf | E-H03_전력간선설비 평면도(LV).dxf | E-I03_전력간선설비 평면도(UPS).dxf | E-J03_전력간선설비 평면도(BUS DUCT).dxf | E-L03_전력간선설비 평면도(IT).dxf | E-M04_전력간선설비 평면도(건물).dxf | E-N01_IT 동력설비 평면도.dxf,Can be overlaid directly on basis coordinates.
xr-plan_0_356400.000642_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,XR-PLAN.dwg,,0,356400.000642,1,1,0,False,2,48,E-K02_AC & DC Control 전원설비 평면도.dxf | E-K02_AC & DC Control 전원설비 평면도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_-122707.994815_108651.390156_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,.\XR-PLAN.dwg,SITE,-122707.994815,108651.390156,1,1,0,False,1,6,"T-I04_종합상황실, 보안사무실 장비배치도.dxf",Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_-98038.7054757_280948.048244_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,.\XR-PLAN.dwg,SITE,-98038.7054757,280948.048244,1,1,0,False,1,6,"T-I04_종합상황실, 보안사무실 장비배치도.dxf",Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_304608.928688_-76967.1189512_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,XR-PLAN.dwg,SITE,304608.928688,-76967.1189512,1,1,0,False,1,4,E-D01_발전기실 장비배치도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_52308.9286877_-76967.1189512_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,XR-PLAN.dwg,SITE,52308.9286877,-76967.1189512,1,1,0,False,1,4,E-D01_발전기실 장비배치도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_-73841.0713123_101232.881691_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,XR-PLAN.dwg,SITE,-73841.0713123,101232.881691,1,1,0,False,1,4,E-D01_발전기실 장비배치도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_683058.928688_101232.881691_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,XR-PLAN.dwg,SITE,683058.928688,101232.881691,1,1,0,False,1,4,E-D01_발전기실 장비배치도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan__0_-178200_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN_접지,XR-PLAN_접지.dwg,XR-PLAN_접지.dwg,,0,-178200,1,1,0,False,1,4,E-S02_피뢰 및 접지설비 평면도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_0_-178200_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,.\XR-PLAN.dwg,,0,-178200,1,1,0,False,1,1,E-S02_피뢰 및 접지설비 평면도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
xr-plan_-204541.212746_-254628.795556_1_1_0,B_XR_PLAN_TRANSFORMED,XR-PLAN,XR-PLAN.dwg,.\XR-PLAN.dwg,,-204541.212746,-254628.795556,1,1,0,False,2,0,E-V05_전산기계실 접지설비 평면도.dxf | E-V05_전산기계실 접지설비 평면도.dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
