status,coordinate_basis,dataset,floor,space_category,label,drawing_x,drawing_y,confidence,evidence_row_count,source_drawing,source_path,entity_type,layer,handle,handles,floor_bbox_ids
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,(24인승),156404.5542199481,-255349.1812798096,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,11735,11735,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,(24인승),170788.1743666474,-237509.6240621898,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1184A,1184A,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,(24인승),173886.7073541824,-237509.6240621898,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1184D,1184D,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,(옥외지하 유류탱크),197251.1748113353,-217011.0990293401,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1191C,1191C,full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,(주차구획 상부),41788.8692180235,-336682.4123190114,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,117C7,117C7,full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,T4 AL.복합판넬(탈부착용),170253.7310058493,-204462.1639883088,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1F02F,1F02F,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,방수턱 설치,150391.8247803692,-243368.6644786763,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,11920,11920,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,방수턱 설치,148150.9619654175,-224668.6625512913,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1192F,1192F,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,방수턱 설치,137683.2625495959,-219808.3315262962,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1192B,1192B,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,방수턱 설치,148481.9009866249,-219808.3315262962,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,11929,11929,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,방수턱 설치,159738.4193363991,-219808.3315262962,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,11927,11927,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,방수턱 설치,179147.1847327743,-217289.6205046841,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,11925,11925,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,방수턱 설치,125727.0990734715,-213989.6205046841,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1192D,1192D,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,비상용,174268.5255359989,-235659.0483317077,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1184B,1184B,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,승객용,156786.3724017646,-253360.9652275717,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,11733,11733,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,승객용,171169.9925484639,-235659.0483317077,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,11848,11848,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,집수정,144374.521481989,-272722.7483716642,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,32A09,32A09,detail1_left | detail2_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,집수정,111914.1431378294,-271856.1501316479,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,32A05,32A05,detail1_left | detail2_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,집수정,147819.4494414125,-250871.9399681768,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,30081,30081,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,집수정,119893.3277492989,-242593.9092985677,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,1849E,1849E,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,집수정,137363.6396345031,-242492.2956319321,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,2F75E,2F75E,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,집수정,147482.3173459303,-229978.3278200017,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,18499,18499,detail1_left | full
confirmed,XR-PLAN,architecture,1F,ARCH_SPACE,집수정,116777.6962792259,-213190.0547278399,0.80,1,A-101~109 전체평면도.dxf,v2\data\출력\A-101~109 전체평면도.dxf,TEXT,A-TEXT-NAME,18494,18494,detail1_left | full
