"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","evidence_row_count","evidence_drawing_count","source_count","source_drawing_count","source_drawings","source_paths","entity_types","layers","block_names","texts","handles","floor_bbox_ids","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.3200690831","-316965.0038547536","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B64 | 8D0DB0","detail1_right","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8D0BFA"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.320711565","-316965.0038547536","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BF9","detail1_right","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8D0BFA"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.3200690831","-316965.0038547536","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B6A | 8D0DB6","detail1_right","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8D0B6B"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.320711565","-316965.0038547536","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BFF","detail1_right","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8D0B6B"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.3200690831","-313315.0038547536","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B61 | 8D0DAD","detail1_right","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8D0BF7"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.320711565","-313315.0038547536","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BF6","detail1_right","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8D0BF7"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.3200690831","-313315.0038547536","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B67 | 8D0DB3","detail1_right","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8D0BFD"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.320711565","-313315.0038547536","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BFC","detail1_right","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8D0BFD"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.3200690831","-309665.0038547536","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B5E | 8D0DAA","detail1_right","CRB-1-1","BAT / CRB-1-1","341.6","------00 Switch Gear_Number","8D0BF4"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.320711565","-309665.0038547536","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BF3","detail1_right","CRB-1-1","BAT / CRB-1-1","341.6","------00 Switch Gear_Number","8D0BF4"
